Date,Company name,Description,Category,Account name,Grand,CashNet,CashVAT,CCNet
01 Mar 2024,,INSTANTCARCHECK LEEDS GB,,cc,,,,9.99
02 Mar 2024,,INTUIT QBooks Online 08081684238 GB,,cc,,,,29.4
04 Mar 2024,,Wix.com 1103182895 London GB,,cc,,,,6
05 Mar 2024,,)))EURO CAR PARTS P 104 PETERBORO GB,,cc,,,,38.07
05 Mar 2024,,)))EURO CAR PARTS P 104 PETERBORO GB,,cc,,,,-59.94
06 Mar 2024,,Microsoft G040592930 msbill.info GB,,cc,,,,20.64
07 Mar 2024,,)))GALE FORCE TYRES SPALDING GB,,cc,,,,42
07 Mar 2024,,)))LINCO PLC BRANCH 81 SPALDING GB,,cc,,,,42.55
07 Mar 2024,,)))LINCO PLC BRANCH 81 SPALDING GB,,cc,,,,68.69
07 Mar 2024,,DART CHARGE AUTO TOP LEEDS GB,,cc,,,,3
07 Mar 2024,,BKG HOTEL AT BOOKING.C 888 850 3958 GB,,cc,,,,71.1
09 Mar 2024,,EURO CAR PARTS TAMWORTH GB,,cc,,,,31.49
11 Mar 2024,,B Q 1170 SPALDING GB,,cc,,,,127.88
12 Mar 2024,,eBay O 08 11300 90691 LONDON GB,,cc,,,,258
12 Mar 2024,,eBay O 24 11303 22421 LONDON GB,,cc,,,,16.49
12 Mar 2024,,eBay O 24 11303 22422 LONDON GB,,cc,,,,23.32
12 Mar 2024,,WWW.KLIPSPRINGER.COM IPSWICH GB,,cc,,,,25.51
13 Mar 2024,,INSTANTCARCHECK LEEDS GB,,cc,,,,9.99
13 Mar 2024,,)))AUTORAMA PETERBOROUGH PETERBOROUGH GB,,cc,,,,60
15 Mar 2024,,GALE FORCE TYRES SPALDING GB,,cc,,,,258.19
16 Mar 2024,,eBay O 11 11314 25626 LONDON GB,,cc,,,,16.99
16 Mar 2024,,)))POST OFFICE COUNTER SPALDING GB,,cc,,,,2.75
18 Mar 2024,,FS optimoroute fsprg.uk GB 46.80 USD 1.2720 Visa Exchange Rate,,cc,,,,36.79
18 Mar 2024,,NON STERLING TRANSACTION FEE,,cc,,,,1.1
20 Mar 2024,,)))GIBBONS CYCLES SPALDING GB,,cc,,,,10
20 Mar 2024,,eBay O 25 11322 32897 LONDON GB,,cc,,,,24.99
21 Mar 2024,,eBay O 11 11314 25626 LONDON GB,,cc,,,,-16.99
22 Mar 2024,,eBay O 15 11337 96717 LONDON GB,,cc,,,,118.5
25 Mar 2024,,Amazon Prime V177S7GG5 amzn.co.uk pm GB,,cc,,,,8.99
26 Mar 2024,,)))LIDL GB SPALDING SPALDING GB,,cc,,,,11.99
27 Feb 2024,,)))AUTORAMA PETERBOROUGH PETERBOROUGH GB,,cc,,,,60
27 Feb 2024,,CITROEN PETERBOROUGH 1733592391 GB,,cc,,,,111.37
27 Feb 2024,,ZOOMCOVER COM LTD CUDDINGTON GB,,cc,,,,27.56
27 Mar 2024,,eBay O 26 11348 24473 LONDON GB,,cc,,,,55
27 Mar 2024,,eBay O 08 11362 99305 LONDON GB,,cc,,,,89.1
28 Feb 2024,,)))POST OFFICE COUNTER SPALDING GB,,cc,,,,14.7
28 Feb 2024,,eBay O 04 11245 93561 LONDON GB,,cc,,,,66
28 Feb 2024,,NTP ONLINE LEARNING SPALDING GB,,cc,,,,79.9
29 Feb 2024,,)))HALFORDS 0443 SPALDING GB,,cc,,,,12.58
