Date,Company name,Description,Category,Account name,Grand,CashNet,CashVAT,CCNet,CCVAT,Amount
01 Nov 2024,,Anatolijs SobolenkEXP301024,,ca,,,,,,10
01 Nov 2024,,DVLA-DP21FZG,,ca,,,,,,29.31
01 Nov 2024,,DVLA-BF68FLR,,ca,,,,,,29.31
01 Nov 2024,,DVLA-YD68ZJY,,ca,,,,,,29.31
01 Nov 2024,,DVLA-RX21FVU,,ca,,,,,,29.34
01 Nov 2024,,DVLA-DE14AAK,,ca,,,,,,29.34
01 Nov 2024,,DVLA-DF16TZM,,ca,,,,,,29.31
01 Nov 2024,,DVLA-WR19GWK FIRST PAYMENT,,ca,,,,,,58.65
04 Nov 2024,,403615 62859734 INTERNET TRANSFER,,ca,,,,,,16000
04 Nov 2024,,WWW.TEMPCOVER.COM FLEET,,ca,,,,,,23.81
04 Nov 2024,,UK FUELS LTD,,ca,,,,,,14.4
04 Nov 2024,,SKY BUSINESS SERV,,ca,,,,,,17.96
05 Nov 2024,,WWW.ARGOS.CO.UK MILTON KEYNES,,ca,,,,,,75.96
05 Nov 2024,,APPLEGREEN PLC DD,,ca,,,,,,122.24
05 Nov 2024,,THE FUEL STORE,,ca,,,,,,1702.78
07 Nov 2024,,Mancho Tradings INV050,,ca,,,,,,902
07 Nov 2024,,COMMERCIAL CARD,,ca,,,,,,3643.37
08 Nov 2024,,RB Van Transport INV044,,ca,,,,,,1395
09 Nov 2024,,Rafal Wiczenbach RW008,,ca,,,,,,156
09 Nov 2024,,Gale Force Tyres GR602820,,ca,,,,,,199.6
09 Nov 2024,,Just Chilling HaulINV1074,,ca,,,,,,13950
10 Nov 2024,,Lincolnshire CountLC314498Nov24,,ca,,,,,,1068
12 Nov 2024,,ARGOS SPALDING,,ca,,,,,,39.97
12 Nov 2024,,APPLEGREEN PLC DD,,ca,,,,,,241.44
12 Nov 2024,,THE FUEL STORE,,ca,,,,,,1546.03
13 Nov 2024,,RB Van Transport INV045,,ca,,,,,,1865
13 Nov 2024,,Mancho Tradings INV051,,ca,,,,,,735
14 Nov 2024,,SUMUP *PRE-SURE LBOSTON,,ca,,,,,,26.4
14 Nov 2024,,RADIUS TELEMATICS,,ca,,,,,,58.27
15 Nov 2024,,John McCormick YR68KGJ,,ca,,,,,,65
17 Oct 2024,,MR DAWID M GIL exp17/10/24,,ca,,,,,,30.01
19 Oct 2024,,Rasa Zubkute EXP081024,,ca,,,,,,45.59
19 Oct 2024,,403615 62859734 INTERNET TRANSFER,,ca,,,,,,20000
21 Oct 2024,,TFL CONGESTN CHRGE,,ca,,,,,,12.5
21 Oct 2024,,EVERFLOW LIMITED,,ca,,,,,,19.1
22 Oct 2024,,APPLEGREEN PLC DD,,ca,,,,,,134.58
22 Oct 2024,,THE FUEL STORE,,ca,,,,,,1800.31
24 Oct 2024,,Mancho Tradings INV048,,ca,,,,,,930
24 Oct 2024,,RB Van Transport INV042,,ca,,,,,,1930
24 Oct 2024,,HMRC SDDS,,ca,,,,,,2556.72
25 Oct 2024,,SP 8ECF0C-2 LEICESTER,,ca,,,,,,72
25 Oct 2024,,CLOSE-COVERSURE BR,,ca,,,,,,1239.96
25 Oct 2024,,HSBC PLC LOANS,,ca,,,,,,106.48
27 Oct 2024,,Mancho Tradings INV049,,ca,,,,,,459
27 Oct 2024,,Oskars Kra INV013,,ca,,,,,,419.22
27 Oct 2024,,Oskars Kra INV0012,,ca,,,,,,122.4
28 Oct 2024,,WM MORRISONS STORESPALDING,,ca,,,,,,3
29 Oct 2024,,HUMBER BRIDGE BOARHESSLE,,ca,,,,,,1.5
29 Oct 2024,,HUMBER BRIDGE BOARHESSLE,,ca,,,,,,1.5
29 Oct 2024,,WM MORRISONS STORESPALDING,,ca,,,,,,7.44
29 Oct 2024,,APPLEGREEN PLC DD,,ca,,,,,,144.28
29 Oct 2024,,THE FUEL STORE,,ca,,,,,,1458.37
31 Oct 2024,,RB Van Transport INV043,,ca,,,,,,1770
31 Oct 2024,,TOTAL CHARGES TO 09OCT2024,,ca,,,,,,8
